iter	RMSE
0	16.28346636
1	15.74287272
2	15.17976886
3	14.67203647
4	14.17309249
5	13.74190812
6	13.34333455
7	12.90995029
8	12.51373269
9	12.13406967
10	11.77557719
11	11.43536764
12	11.14368362
13	10.86163605
14	10.57357992
15	10.36456319
16	10.11188596
17	9.916037062
18	9.689299545
19	9.501059477
20	9.317019639
21	9.105782938
22	8.915825332
23	8.746306703
24	8.599204924
25	8.445807343
26	8.295822169
27	8.154566296
28	7.996743213
29	7.876854855
30	7.75331158
31	7.655823535
32	7.565196481
33	7.45240086
34	7.368186108
35	7.242571526
36	7.154146
37	7.046138417
38	6.955531215
39	6.844602902
40	6.773200745
41	6.710318219
42	6.649907901
43	6.587809196
44	6.520080275
45	6.47305468
46	6.429279599
47	6.379949267
48	6.322086777
49	6.253443297
50	6.209033489
51	6.166665699
52	6.116621494
53	6.075405175
54	6.030192798
55	5.979209832
56	5.934693285
57	5.897140183
58	5.856428097
59	5.819452249
60	5.799228405
61	5.757215351
62	5.721098995
63	5.693167023
64	5.656557689
65	5.629893514
66	5.604033957
67	5.579493438
68	5.556205053
69	5.519934991
70	5.492834291
71	5.464059546
72	5.437525046
73	5.406250103
74	5.383917227
75	5.360453356
76	5.335168522
77	5.30919553
78	5.283509274
79	5.261522708
80	5.239965451
81	5.218749039
82	5.19889414
83	5.17859985
84	5.160338602
85	5.138416598
86	5.114809946
87	5.106664763
88	5.086045297
89	5.071773852
90	5.052451995
91	5.034571518
92	5.011249434
93	4.991219643
94	4.983721543
95	4.962775657
96	4.943569054
97	4.920136729
98	4.90818327
99	4.893634213
100	4.890275451
101	4.87119484
102	4.854293443
103	4.838481444
104	4.82305291
105	4.816746303
106	4.813997592
107	4.798858973
108	4.785279064
109	4.774755036
110	4.763682813
111	4.750567401
112	4.739851427
113	4.719985135
114	4.712270562
115	4.699371041
116	4.684147758
117	4.680437389
118	4.666704476
119	4.657519005
120	4.654078453
121	4.642007999
122	4.625063837
123	4.619483905
124	4.614917349
125	4.610875605
126	4.60774198
127	4.592971509
128	4.590209811
129	4.586858863
130	4.58489726
131	4.582312155
132	4.57655465
133	4.574063042
134	4.555195496
135	4.551813579
136	4.538901441
137	4.519992817
138	4.518227769
139	4.516007667
140	4.499644856
141	4.497426671
142	4.488238991
143	4.471258004
144	4.46896217
145	4.452722734
146	4.450640651
147	4.431787671
148	4.430231719
149	4.411230682
150	4.397902532
151	4.393566695
152	4.377086839
153	4.375404635
154	4.361730134
155	4.359693578
156	4.344085764
157	4.331712883
158	4.329730507
159	4.327859676
160	4.314329021
161	4.303652688
162	4.301916343
163	4.300044327
164	4.289147821
165	4.282575071
166	4.280782982
167	4.273560748
168	4.271829187
169	4.268058007
170	4.266371383
171	4.253225858
172	4.235353341
173	4.233804447
174	4.225011361
175	4.217846549
176	4.215317986
177	4.20513602
178	4.194023453
179	4.183019578
180	4.166913139
181	4.155349932
182	4.153892179
183	4.139964437
184	4.127655212
185	4.125297669
186	4.123786379
187	4.112795183
188	4.101888352
189	4.100864149
190	4.099866961
191	4.086639389
192	4.070703944
193	4.059424874
194	4.058466453
195	4.048239297
196	4.035182994
197	4.0339076
198	4.017511031
199	4.004647577
200	3.996064617
201	3.987098104
202	3.985564393
203	3.98435686
204	3.978127316
205	3.976035701
206	3.95819488
207	3.94840395
208	3.935298139
209	3.934103652
210	3.932698299
211	3.931819883
212	3.923685757
213	3.922830667
214	3.918356985
215	3.907131497
216	3.89621673
217	3.88217389
218	3.881062295
219	3.871551734
220	3.870202863
221	3.858999075
222	3.848952268
223	3.848148617
224	3.847365989
225	3.837139333
226	3.824326411
227	3.815787133
228	3.815018452
229	3.807513559
230	3.798229083
231	3.785509471
232	3.778667999
233	3.777694298
234	3.770013343
235	3.758848519
236	3.758134399
237	3.748931097
238	3.743055578
239	3.74159191
240	3.734952762
241	3.728171039
242	3.716836222
243	3.716078372
244	3.715411373
245	3.704567818
246	3.692767607
247	3.69193051
248	3.691278026
249	3.683943869
250	3.683236627
251	3.677121485
252	3.674986181
253	3.663257759
254	3.662643841
255	3.662046244
256	3.661014178
257	3.656490077
258	3.655911354
259	3.655079008
260	3.651035507
261	3.639186089
262	3.627910565
263	3.615387866
264	3.604909978
265	3.598583721
266	3.587527213
267	3.579381473
268	3.571168772
269	3.565355777
270	3.564021491
271	3.554236197
272	3.550558237
273	3.543809336
274	3.539579053
275	3.532125202
276	3.525726797
277	3.519213833
278	3.516502735
279	3.515269333
280	3.514099848
281	3.509568355
282	3.501775955
283	3.499792545
284	3.495119064
285	3.491208246
286	3.482089462
287	3.474674774
288	3.466474233
289	3.464781707
290	3.460903902
291	3.457286324
292	3.44752093
293	3.439030686
294	3.433065633
295	3.431293263
296	3.424738888
297	3.423037065
298	3.421658112
299	3.421130425
300	3.419819759
301	3.41920232
302	3.413597625
303	3.407677903
304	3.406438273
305	3.398515101
306	3.39733137
307	3.39679118
308	3.391119014
309	3.390671657
310	3.390156569
311	3.389728806
312	3.389215474
313	3.385928742
314	3.38162249
315	3.381126354
316	3.377885794
317	3.375924876
318	3.369699695
319	3.366127643
320	3.356931535
321	3.353295504
322	3.346288936
323	3.344650068
324	3.340934716
325	3.335592703
326	3.330575488
327	3.321103849
328	3.316449654
329	3.313496223
330	3.30542374
331	3.300825231
332	3.297126367
333	3.296676204
334	3.291186079
335	3.282794563
336	3.282434504
337	3.282084276
338	3.277302197
339	3.27010192
340	3.269765555
341	3.264556476
342	3.256084514
343	3.249404853
344	3.246810008
345	3.241422548
346	3.238564584
347	3.233048476
348	3.226278634
349	3.22153929
350	3.221229833
351	3.217315402
352	3.212553626
353	3.212250962
354	3.20568921
355	3.197544974
356	3.193184234
357	3.187824081
358	3.187538023
359	3.185192638
360	3.177447508
361	3.177168488
362	3.170256714
363	3.165285201
364	3.163068366
365	3.158322272
366	3.154204313
367	3.146340876
368	3.14236439
369	3.142092458
370	3.136341209
371	3.136075664
372	3.132145451
373	3.123565629
374	3.120522555
375	3.120265648
376	3.117766841
377	3.117446496
378	3.111339394
379	3.104997408
380	3.098103131
381	3.095334609
382	3.090402024
383	3.086653062
384	3.086416727
385	3.079676968
386	3.079444319
387	3.079150436
388	3.078611154
389	3.075163209
390	3.071755301
391	3.06541487
392	3.062528517
393	3.059009274
394	3.056691224
395	3.05242852
396	3.045834722
397	3.043152843
398	3.042939034
399	3.038001751
400	3.036880664
401	3.035129593
402	3.032589393
403	3.03238068
404	3.031572517
405	3.029386657
406	3.024183289
407	3.019312022
408	3.017510054
409	3.014135617
410	3.010792167
411	3.005983944
412	2.999996255
413	2.996223353
414	2.99021741
415	2.986624776
416	2.984320465
417	2.982118295
418	2.979725188
419	2.974696303
420	2.970582863
421	2.96823006
422	2.964687351
423	2.95950479
424	2.954944443
425	2.952424146
426	2.949255456
427	2.946288377
428	2.943551936
429	2.943206846
430	2.939649231
431	2.936800543
432	2.934427775
