Model,CV_R2,MAE,RMSE,Test_R2,Adj_R2
CatBoost,,2.7046470855603597,4.113062348052508,0.9343479880339195,0.9316819164819974
LightGBM,0.9192525286643696,2.839555030656765,4.257500199779659,0.929656040785868,0.9267994333050911
XGBoost,0.9021277474552056,2.906827718314834,4.452198087209013,0.9230751936264272,0.9199513436214091
ExtraTrees,0.902434110934242,3.3847196275040035,5.293341091311772,0.8912630332468578,0.8868473188609435
MLP,0.9000507653177554,4.042035243647041,5.321674721723642,0.8900958465623883,0.8856327337324345
RandomForest,0.8971414370957194,3.75481883315982,5.509815094430036,0.8821874643599863,0.8774031989532852
GradientBoosting,0.8916921195036116,4.1006106131847,5.542216429817397,0.8807977598117096,0.8759570597025405
DecisionTree,0.8240521663921043,4.5912651509848175,7.326202270512263,0.7917067173788096,0.7832481069170354
KNN,0.6960308852021313,6.765328906961771,8.509829028544567,0.7189658324141466,0.7075532773852795
SVR,0.6259675634466338,7.515448729382773,9.43283238821854,0.6546959362736273,0.6406734362238253
Ridge,0.5970735353528756,7.751761421939317,9.796410930619146,0.6275641808582495,0.612439883634219
Linear,0.5970787654192058,7.745392872421345,9.796707832398447,0.6275416055429021,0.6124163915547967
Lasso,0.5544627764113457,8.716648876611393,10.60082875179278,0.563888948715062,0.5461788552618665
ElasticNet,0.48657162009019733,9.232492195094927,11.184703588793479,0.5145255117689147,0.4948108117392259
